model,subject,run,accuracy,kappa,precision,recall,f1_score
baseline,300,0,0.5416666666666666,0.31130434782608696,0.530952380952381,0.5496540496540496,0.5207776303050121
baseline,300,1,0.5,0.2627986348122867,0.5349590986263312,0.5075295075295075,0.5034618291761149
baseline,300,2,0.3611111111111111,0.07434320849636666,0.24809861001835823,0.38888888888888884,0.2937853107344633
baseline,301,0,0.5694444444444444,0.3511627906976744,0.5789152368099737,0.5554584304584305,0.5475373402621172
baseline,301,1,0.5555555555555556,0.32827988338192415,0.5963045912653975,0.5422494172494172,0.5056487070571577
baseline,301,2,0.5694444444444444,0.35266821345707666,0.5859010270774977,0.557983682983683,0.5615754588608587
baseline,302,0,0.4583333333333333,0.1986301369863015,0.49374999999999997,0.4576923076923077,0.46321070234113715
baseline,302,1,0.3472222222222222,0.04729729729729726,0.5482758620689655,0.3666666666666667,0.32351097178683386
baseline,302,2,0.5277777777777778,0.2879581151832461,0.5032840722495895,0.5102564102564102,0.5048842079329884
baseline,303,0,0.5138888888888888,0.2674418604651163,0.5299145299145299,0.5001942501942501,0.450125313283208
baseline,303,1,0.5277777777777778,0.2993703491700057,0.6275985663082437,0.5299145299145299,0.5331632331632332
baseline,303,2,0.3472222222222222,0.026467203682393414,0.4875478927203065,0.3463480963480963,0.24608867937418868
baseline,304,0,0.4444444444444444,0.16521739130434787,0.43664717348927873,0.4358974358974359,0.3499118165784832
baseline,304,1,0.4583333333333333,0.18608695652173923,0.5103485838779956,0.44910644910644915,0.4137709866063007
baseline,304,2,0.5277777777777778,0.28837209302325584,0.568070818070818,0.5164141414141414,0.46604010025062664
baseline,306,0,0.375,0.022624434389140413,0.4553990610328638,0.34782608695652173,0.20647193585337917
baseline,306,1,0.6527777777777778,0.48409286328460877,0.7801790801790802,0.6610925306577481,0.6550487138722433
baseline,306,2,0.4027777777777778,0.06775067750677521,0.7922705314009661,0.3768115942028985,0.2635672514619883
baseline,307,0,0.3611111111111111,0.0012062726176116367,0.12206572769953052,0.3333333333333333,0.17869415807560138
baseline,307,1,0.375,0.0229191797346201,0.4553990610328638,0.34848484848484845,0.2076796653219782
baseline,307,2,0.3611111111111111,0.0,0.12037037037037036,0.3333333333333333,0.17687074829931973
baseline,308,0,0.5555555555555556,0.33735979292493534,0.6457875457875458,0.5556288156288157,0.5542265669925245
baseline,308,1,0.5,0.25021695111368236,0.5944444444444444,0.4921367521367521,0.49392469392469396
baseline,308,2,0.4583333333333333,0.21432568550643527,0.6194477791116446,0.4851770451770452,0.4329365079365079
baseline,309,0,0.3611111111111111,0.0,0.12037037037037036,0.3333333333333333,0.17687074829931973
baseline,309,1,0.4027777777777778,0.06915213469633186,0.6830065359477123,0.37752525252525254,0.2643971631205674
baseline,309,2,0.5555555555555556,0.33294730746960044,0.6899159663865545,0.550990675990676,0.49308266111544796
baseline,400,0,0.75,0.6115107913669064,0.7272408963585434,0.729739010989011,0.7182539682539684
baseline,400,1,0.7361111111111112,0.5869565217391304,0.7013888888888888,0.7048992673992673,0.7019444444444445
baseline,400,2,0.4444444444444444,0.012345679012345734,0.3142857142857143,0.34672619047619047,0.24428104575163398
