subject,run,accuracy,kappa,precision,recall,f1_score
300,0,0.5555555555555556,0.3589315525876461,0.6381766381766382,0.5834350834350834,0.5612056921726444
300,1,0.5972222222222222,0.4098360655737705,0.6427166400850611,0.6134513634513635,0.6007086152376461
300,2,0.5416666666666666,0.339633129516398,0.6460784313725491,0.5706145706145705,0.5529701274024235
301,0,0.5277777777777778,0.2949308755760368,0.5729166666666666,0.5241841491841491,0.5312284334023465
301,1,0.5277777777777778,0.2949308755760368,0.569673202614379,0.5231157731157731,0.5330572201758083
301,2,0.5277777777777778,0.2949308755760368,0.569673202614379,0.5231157731157731,0.5330572201758083
302,0,0.4166666666666667,0.1428571428571429,0.4537037037037037,0.4346153846153846,0.41770186335403725
302,1,0.4166666666666667,0.141396933560477,0.45252100840336135,0.43076923076923074,0.4194687011673867
302,2,0.4305555555555556,0.16610169491525417,0.4561403508771929,0.4512820512820513,0.42448543170275327
303,0,0.5694444444444444,0.3515398024404416,0.591919191919192,0.556915306915307,0.5620959942993841
303,1,0.5833333333333334,0.37788018433179726,0.5988704781808231,0.5807109557109557,0.5829448646556988
303,2,0.5555555555555556,0.3321739130434783,0.5872549019607843,0.5440947940947941,0.5532125288941796
304,0,0.5972222222222222,0.3996549741230593,0.6596764346764347,0.6008158508158509,0.596923832738129
304,1,0.625,0.4420206659012629,0.6990950226244345,0.6298562548562548,0.6233615648316192
304,2,0.5972222222222222,0.40171919770773634,0.6582670203359858,0.6033411033411032,0.5986937590711175
306,0,0.6805555555555556,0.5233160621761659,0.6925925925925925,0.6867335562987736,0.6780652774229651
306,1,0.6805555555555556,0.5237273511647973,0.6912414833307329,0.6884057971014492,0.6764326481934454
306,2,0.6527777777777778,0.4832041343669251,0.6654320987654322,0.6627647714604236,0.6445221659763768
307,0,0.4583333333333333,0.16028708133971292,0.5642987249544626,0.4343434343434343,0.3621966794380587
307,1,0.4583333333333333,0.16028708133971292,0.5642987249544626,0.4343434343434343,0.3621966794380587
307,2,0.4444444444444444,0.13824057450628358,0.4992193598750976,0.41919191919191917,0.3365372731334912
308,0,0.5416666666666666,0.31547104580812446,0.6235294117647059,0.5387301587301587,0.5479407189060836
308,1,0.5416666666666666,0.3162589928057553,0.6258741258741258,0.5412698412698412,0.5506643841199967
308,2,0.5138888888888888,0.27523727351164806,0.6172161172161172,0.5156288156288157,0.5208932336591912
309,0,0.5555555555555556,0.33755031627372056,0.575460487225193,0.55506993006993,0.5521495442227149
309,1,0.5694444444444444,0.3611906124785347,0.6170940170940171,0.5738150738150738,0.5618205518419346
309,2,0.625,0.438474870017331,0.6653198653198653,0.6216977466977468,0.5972582972582973
400,0,0.625,0.44897959183673475,0.6755555555555555,0.6421703296703297,0.6053322751922604
400,1,0.6805555555555556,0.5345699831365935,0.7290008841732979,0.7082188644688645,0.6710659218964867
400,2,0.5833333333333334,0.375,0.5999185999186,0.5782967032967032,0.5676767676767677
401,0,0.625,0.4418604651162791,0.6239880059970015,0.631060606060606,0.605759682224429
401,1,0.6666666666666666,0.4973821989528796,0.6523464458247067,0.6613636363636363,0.6435693935693936
401,2,0.625,0.44329896907216493,0.637962962962963,0.6386363636363637,0.5984126984126984
402,0,0.6666666666666666,0.4747720364741641,0.6498599439775911,0.6526854219948849,0.6500668449197861
402,1,0.6805555555555556,0.5223536198442458,0.6831884057971015,0.7091219096334186,0.6751574448942871
402,2,0.7222222222222222,0.5757218621096052,0.7152746538711451,0.7385336743393008,0.7175163398692811
