model,subject,run,accuracy,kappa,precision,recall,f1_score
baseline,300,0,0.3611111111111111,0.10341093665403356,0.4948466566113625,0.4105616605616606,0.3221674876847291
baseline,301,0,0.4444444444444444,0.16859122401847582,0.48739495798319327,0.4370629370629371,0.4480085538626036
baseline,302,0,0.2777777777777778,-0.026315789473684292,0.1636904761904762,0.3217948717948718,0.19674185463659147
baseline,303,0,0.4444444444444444,0.176672384219554,0.5897435897435898,0.44939782439782444,0.42734315948601664
baseline,304,0,0.4027777777777778,0.10260869565217401,0.4159604519774011,0.3952991452991453,0.31396172927002125
baseline,306,0,0.4166666666666667,0.12575888985255845,0.301572617946346,0.41471571906354515,0.3346938775510204
baseline,307,0,0.3611111111111111,0.0,0.12037037037037036,0.3333333333333333,0.17687074829931973
baseline,308,0,0.5,0.2519480519480519,0.6173361522198731,0.49672771672771665,0.4713275021072559
baseline,309,0,0.4166666666666667,0.15246636771300448,0.4479166666666667,0.4358974358974359,0.32740538075695397
baseline,400,0,0.6111111111111112,0.3513513513513513,0.660889355742297,0.5541437728937729,0.5697766703580657
baseline,401,0,0.20833333333333334,0.0,0.06944444444444445,0.3333333333333333,0.1149425287356322
baseline,402,0,0.3194444444444444,0.0,0.10648148148148147,0.3333333333333333,0.16140350877192983
baseline,403,0,0.6805555555555556,0.49542961608775127,0.7342727342727343,0.651999791959224,0.6682206682206683
baseline,404,0,0.2916666666666667,-0.004376367614879584,0.3063492063492063,0.33214285714285713,0.23839009287925697
baseline,405,0,0.375,0.05013192612137207,0.37826203927898844,0.3773387096774194,0.2975957323783411
baseline,406,0,0.5416666666666666,0.34545454545454557,0.6690094802222948,0.6383689839572192,0.5505021520803444
baseline,407,0,0.7083333333333334,0.5534554046072062,0.8185185185185185,0.6954022988505747,0.6987577639751552
baseline,408,0,0.2638888888888889,0.0,0.08796296296296297,0.3333333333333333,0.1391941391941392
baseline,409,0,0.4027777777777778,0.026415094339622636,0.4666666666666666,0.3452380952380953,0.2134646962233169
baseline,410,0,0.5277777777777778,0.21387283236994215,0.8229166666666666,0.47685185185185186,0.4260992907801418
baseline,411,0,0.4305555555555556,0.11351351351351346,0.43959899749373427,0.42355044699872285,0.424709784411277
baseline,412,0,0.3472222222222222,0.0,0.11574074074074074,0.3333333333333333,0.17182130584192437
baseline,413,0,0.3888888888888889,0.0,0.13145539906103285,0.3333333333333333,0.18855218855218855
baseline,414,0,0.4722222222222222,0.21038961038961035,0.5234419668381932,0.47993827160493824,0.4211580086580087
baseline,415,0,0.3333333333333333,0.05754022361603495,0.30501738698460007,0.3697530864197531,0.26272471301711064
baseline,416,0,0.2916666666666667,0.0,0.09722222222222222,0.3333333333333333,0.15053763440860216
baseline,417,0,0.4305555555555556,0.12636874815034038,0.28905597326649957,0.4262890341321714,0.32744495647721455
baseline,418,0,0.4722222222222222,0.28301886792452835,0.7654320987654321,0.5476190476190476,0.4767052767052767
baseline,419,0,0.6388888888888888,0.3825857519788918,0.4807017543859649,0.5100308641975309,0.4757864969954047
baseline,420,0,0.20833333333333334,0.013698630136986245,0.39906103286384975,0.3448275862068966,0.13202614379084968
baseline,421,0,0.3055555555555556,0.0,0.10185185185185186,0.3333333333333333,0.15602836879432624
baseline,422,0,0.3333333333333333,0.0,0.1111111111111111,0.3333333333333333,0.16666666666666666
baseline,423,0,0.2222222222222222,0.0,0.07407407407407407,0.3333333333333333,0.12121212121212122
baseline,424,0,0.4027777777777778,0.07027027027027022,0.35698924731182796,0.3703703703703704,0.3579638752052545
baseline,425,0,0.5,0.19999999999999996,0.4451612903225806,0.4444444444444444,0.3644093531733981
baseline,426,0,0.5,0.20830788026878422,0.53399209486166,0.4898039215686274,0.4828216374269006
baseline,427,0,0.5277777777777778,0.289817232375979,0.7486504723346828,0.5134680134680135,0.43199674634425894
baseline,428,0,0.5416666666666666,0.3172413793103448,0.564217032967033,0.5535714285714286,0.5285714285714286
baseline,429,0,0.3333333333333333,0.0,0.1111111111111111,0.3333333333333333,0.16666666666666666
baseline,430,0,0.5555555555555556,0.3005464480874317,0.6255857033889071,0.5329473393989522,0.5285521885521886
baseline,431,0,0.375,0.018181818181818188,0.18686868686868685,0.3452380952380953,0.20801364023870417
baseline,432,0,0.5277777777777778,0.25068870523415976,0.7250174703004891,0.4767254381858845,0.4239658457272247
baseline,433,0,0.4305555555555556,0.14682080924855478,0.4611111111111111,0.4353864734299517,0.35458269329237074
baseline,434,0,0.3472222222222222,0.0,0.11574074074074074,0.3333333333333333,0.17182130584192437
baseline,435,0,0.2638888888888889,0.041687594173782205,0.2796019900497512,0.3717948717948718,0.19303018525715765
baseline,436,0,0.4722222222222222,0.18425760286225412,0.5699921357150882,0.46759259259259256,0.4537297787790607
baseline,437,0,0.5277777777777778,0.2821114369501466,0.4532019704433498,0.548582995951417,0.46103896103896097
baseline,438,0,0.2916666666666667,0.0,0.09722222222222222,0.3333333333333333,0.15053763440860216
baseline,439,0,0.3333333333333333,0.0,0.1111111111111111,0.3333333333333333,0.16666666666666666
baseline,440,0,0.4722222222222222,0.12251443232841563,0.38450074515648286,0.39761600681140913,0.33294346978557504
