subject,run,accuracy,kappa,precision,recall,f1_score
300,0,0.4583333333333333,0.19771428571428573,0.5055555555555555,0.45675620675620676,0.46208112874779533
300,1,0.4722222222222222,0.22755505364201012,0.5558730158730159,0.48667073667073674,0.4773253889440583
300,2,0.4861111111111111,0.2379862700228833,0.5515873015873015,0.4937932437932438,0.4936507936507937
301,0,0.4861111111111111,0.236676217765043,0.5678455643972885,0.4871794871794872,0.49709724238026126
301,1,0.4583333333333333,0.1986301369863015,0.5605042016806723,0.46386946386946387,0.46336996336996333
301,2,0.4583333333333333,0.1967963386727689,0.5546432062561095,0.4615384615384615,0.4666931082025421
302,0,0.4166666666666667,0.1384615384615384,0.5,0.42692307692307696,0.4270109235352533
302,1,0.4444444444444444,0.1738382099827882,0.5155993431855501,0.44871794871794873,0.4572665429808287
302,2,0.4027777777777778,0.11034482758620678,0.48759920634920634,0.4025641025641025,0.41298648921153464
303,0,0.5138888888888888,0.27083333333333337,0.5354166666666667,0.5045648795648795,0.5122498274672188
303,1,0.5,0.25216387766878257,0.5267901234567901,0.4932012432012432,0.504755340310654
303,2,0.5277777777777778,0.29166666666666663,0.5400432900432901,0.5175796425796425,0.526126651126651
304,0,0.5833333333333334,0.379666858127513,0.6420606474369915,0.5858585858585859,0.5874768089053802
304,1,0.5972222222222222,0.4006888633754305,0.6506020799124247,0.5999417249417248,0.602956504678169
304,2,0.5972222222222222,0.3996549741230593,0.649820788530466,0.5986790986790987,0.6021372259177138
306,0,0.6111111111111112,0.42068965517241386,0.6276344086021505,0.6176142697881829,0.6055996472663139
306,1,0.625,0.4413793103448276,0.6388888888888888,0.6321070234113711,0.6172975960210002
306,2,0.625,0.44041450777202074,0.6541179337231969,0.6304347826086957,0.6145120817251964
307,0,0.4305555555555556,0.11457708458308347,0.5576388888888889,0.4053030303030303,0.3148914431673052
307,1,0.4305555555555556,0.1151079136690647,0.5264550264550264,0.4053030303030303,0.3147565543071161
307,2,0.4305555555555556,0.11510791366906481,0.4731182795698925,0.40404040404040403,0.3080808080808081
308,0,0.6527777777777778,0.4744525547445255,0.7000000000000001,0.6397802197802198,0.6492063492063492
308,1,0.5972222222222222,0.4013761467889908,0.6555555555555556,0.6006837606837606,0.6069094304388422
308,2,0.5972222222222222,0.39896373056994816,0.6419753086419753,0.5945787545787545,0.6060606060606061
309,0,0.4583333333333333,0.1875,0.46428571428571425,0.45114607614607616,0.4554195804195804
309,1,0.4722222222222222,0.2074159907300116,0.46542346542346547,0.46416083916083917,0.4643255295429209
309,2,0.4444444444444444,0.16473317865429227,0.4338578088578089,0.4338578088578089,0.4338578088578089
400,0,0.6944444444444444,0.5502555366269165,0.7307846076961519,0.7114239926739927,0.6859576554217606
400,1,0.6944444444444444,0.5494880546075085,0.7168294668294668,0.7100503663003663,0.677283950617284
400,2,0.7222222222222222,0.5854922279792747,0.7334065934065933,0.7322573260073261,0.7076583302227201
401,0,0.6388888888888888,0.4666666666666667,0.6546296296296296,0.6532828282828284,0.6222557399027987
401,1,0.6388888888888888,0.4666666666666667,0.6669312169312169,0.6608585858585858,0.6166666666666667
401,2,0.5833333333333334,0.3846153846153846,0.6067019400352733,0.5818181818181817,0.5714285714285714
402,0,0.6527777777777778,0.4561933534743202,0.6365079365079366,0.6351520318272237,0.6326417061077304
402,1,0.7083333333333334,0.5334773218142548,0.712012012012012,0.7022449559533959,0.705630163409397
402,2,0.6527777777777778,0.45929708621207577,0.6326217843459223,0.6351520318272237,0.6303143479614067
403,0,0.7083333333333334,0.5613577023498695,0.7162698412698413,0.7317834295521922,0.7135073022462747
403,1,0.6388888888888888,0.4606741573033707,0.6348558177051825,0.6688510948145837,0.6367331855136733
403,2,0.6944444444444444,0.5368421052631579,0.7065656565656565,0.7108493264679877,0.7003823164471653
404,0,0.5416666666666666,0.32191780821917815,0.5657407407407408,0.5519841269841269,0.5422946859903381
404,1,0.5138888888888888,0.28,0.5310547875064004,0.5242063492063492,0.5134531590413943
404,2,0.5138888888888888,0.281641961231471,0.5335194045720362,0.526984126984127,0.5116949441762957
405,0,0.4444444444444444,0.09859154929577463,0.4881562881562882,0.40529569892473116,0.4080862533692722
405,1,0.4166666666666667,0.07182320441988954,0.4096866096866097,0.3887096774193548,0.39248703691197107
405,2,0.4583333333333333,0.1357340720221607,0.48750901875901875,0.42870967741935484,0.4346554792779049
406,0,0.7916666666666666,0.6802841918294849,0.777593984962406,0.7984625668449198,0.7825080890283361
406,1,0.7916666666666666,0.679144385026738,0.7793858284054362,0.7927807486631017,0.7804975362579049
406,2,0.7916666666666666,0.6779964221824686,0.7845217662661881,0.7984625668449198,0.7877585377585378
407,0,0.9444444444444444,0.9156908665105387,0.9366666666666666,0.9451596424010216,0.9396741854636592
407,1,0.9444444444444444,0.9155920281359906,0.9361111111111112,0.9433205619412517,0.938656164220074
407,2,0.9583333333333334,0.9365638766519824,0.9515789473684211,0.956653895274585,0.9537916864232653
408,0,0.5694444444444444,0.3556581986143188,0.5538461538461538,0.5723496776128355,0.5503759398496241
408,1,0.5694444444444444,0.3556581986143188,0.5538461538461538,0.5723496776128355,0.5503759398496241
408,2,0.5833333333333334,0.37626335547213396,0.5681830714088778,0.5846953566251811,0.5607326418091767
409,0,0.4722222222222222,0.20833333333333337,0.47222222222222227,0.49404761904761907,0.47222222222222227
409,1,0.4722222222222222,0.21379310344827573,0.4726495726495726,0.49404761904761907,0.46385032591929143
409,2,0.4861111111111111,0.2210526315789474,0.48412698412698413,0.49702380952380953,0.48423581921118863
410,0,0.6666666666666666,0.4920634920634921,0.6682908545727136,0.6805555555555555,0.6735437584223813
410,1,0.5972222222222222,0.3947826086956522,0.6227598566308243,0.6277777777777778,0.6158614003815243
410,2,0.6527777777777778,0.47643979057591623,0.6593915343915344,0.6749999999999999,0.6623652309926821
411,0,0.5,0.2443148688046647,0.4909502262443439,0.49507024265644956,0.4712634712634713
411,1,0.4861111111111111,0.20643431635388743,0.46808367071524976,0.4573180076628352,0.4434755121253977
411,2,0.5277777777777778,0.290845886442642,0.5337301587301587,0.5269220945083014,0.5041256509538762
412,0,0.5694444444444444,0.34622144112478037,0.58367673992674,0.5618315018315018,0.5625666730929888
412,1,0.5277777777777778,0.28483786152497814,0.5478835978835979,0.5233699633699634,0.5226717823508894
412,2,0.5277777777777778,0.2825322391559203,0.5475885225885225,0.5203174603174604,0.5190849673202614
413,0,0.7222222222222222,0.5847750865051903,0.7242424242424242,0.7619047619047619,0.7258229789845068
413,1,0.7083333333333334,0.5609756097560976,0.7095349631581516,0.7410714285714285,0.7133799533799534
413,2,0.7083333333333334,0.5609756097560976,0.7209755337385072,0.7410714285714285,0.7110896963513028
414,0,0.6666666666666666,0.49825783972125426,0.6648107448107449,0.6631393298059964,0.6632722832722833
414,1,0.6805555555555556,0.5204170286707211,0.6801207729468599,0.6790123456790123,0.6781743000230395
414,2,0.6666666666666666,0.49825783972125426,0.6648107448107449,0.6631393298059964,0.6632722832722833
415,0,0.5416666666666666,0.3001472754050074,0.51130698005698,0.5218518518518519,0.5084175084175084
415,1,0.5416666666666666,0.30404217926186283,0.5185483870967742,0.5251851851851852,0.5177045177045178
415,2,0.4861111111111111,0.2171613282397884,0.4509578544061303,0.46617283950617283,0.4557639890973224
416,0,0.7638888888888888,0.6467532467532467,0.7670011148272019,0.7698168498168497,0.7641059970087326
416,1,0.7638888888888888,0.6502857142857142,0.7936429512516469,0.7794871794871794,0.7592592592592592
416,2,0.7638888888888888,0.6502857142857142,0.7936429512516469,0.7794871794871794,0.7592592592592592
417,0,0.4583333333333333,0.18914236211377422,0.46049382716049375,0.4742971262579106,0.45814988793712197
417,1,0.4027777777777778,0.11008910606496114,0.40439560439560435,0.42667807863886303,0.40569286748688743
417,2,0.4166666666666667,0.13624678663239076,0.41796992481203005,0.44672683888370157,0.4174637812935685
418,0,0.8333333333333334,0.7491289198606271,0.8296135265700483,0.8482142857142857,0.8277697145621673
418,1,0.7916666666666666,0.6896551724137931,0.8010033444816053,0.8125,0.7871148459383753
418,2,0.8055555555555556,0.7093425605536332,0.8099033816425121,0.8244047619047619,0.8004635249972409
419,0,0.7638888888888888,0.6505852126748501,0.7858293075684379,0.7980472459639127,0.753865182436611
419,1,0.7638888888888888,0.6505852126748501,0.7858293075684379,0.7980472459639127,0.753865182436611
419,2,0.8055555555555556,0.6952841596130592,0.7941176470588235,0.7969195156695156,0.7866161616161617
420,0,0.625,0.4375,0.6305114638447972,0.6650246305418719,0.6262406015037594
420,1,0.5833333333333334,0.385665529010239,0.5961654135338347,0.6428571428571429,0.5844356261022927
420,2,0.6388888888888888,0.46299483648881234,0.6452020202020202,0.6888341543513956,0.6396534714514736
421,0,0.7361111111111112,0.6027874564459931,0.7410256410256411,0.7471861471861473,0.7223142489036132
421,1,0.7361111111111112,0.6027874564459931,0.7410256410256411,0.7471861471861473,0.7223142489036132
421,2,0.7222222222222222,0.5795620437956204,0.7321817615935263,0.7264069264069265,0.7049247049247048
422,0,0.6527777777777778,0.4661921708185054,0.6258433480919249,0.625,0.6252081706999739
422,1,0.6666666666666666,0.48845470692717585,0.643875313283208,0.6481481481481483,0.6447931802770513
422,2,0.6666666666666666,0.48201438848920863,0.64996114996115,0.6342592592592593,0.6365932753029527
423,0,0.875,0.8067978533094812,0.8576913297737097,0.8790106951871657,0.8650462962962964
423,1,0.8472222222222222,0.7663716814159292,0.8309178743961353,0.8540552584670231,0.834809002550938
423,2,0.875,0.8078291814946619,0.8618233618233618,0.8843582887700535,0.8672517394054395
424,0,0.5277777777777778,0.2989690721649485,0.5388198757763975,0.5370370370370371,0.5260869565217391
424,1,0.5416666666666666,0.31958762886597936,0.5507246376811594,0.5555555555555555,0.5405797101449276
424,2,0.5,0.2538860103626943,0.5078876678876679,0.5061728395061729,0.4987373737373737
425,0,0.9166666666666666,0.873015873015873,0.9068986568986569,0.9074074074074074,0.9069372975033353
425,1,0.9166666666666666,0.873015873015873,0.9068986568986569,0.9074074074074074,0.9069372975033353
425,2,0.9027777777777778,0.8514588859416445,0.8922346716464364,0.8888888888888888,0.8902356902356902
426,0,0.5,0.22948870392390008,0.5053639846743295,0.49908496732026153,0.5004257130693912
426,1,0.4861111111111111,0.2141592920353983,0.484448951994591,0.4879738562091503,0.4844641560327834
426,2,0.5,0.23245484157536278,0.5004257130693912,0.49908496732026153,0.4981983578474806
427,0,0.8472222222222222,0.7604355716878404,0.8395863395863395,0.8285233285233286,0.8210835058661146
427,1,0.8472222222222222,0.7625899280575539,0.8355508870214753,0.8285233285233286,0.8168206586117034
427,2,0.8611111111111112,0.783978397839784,0.8489911906791702,0.8443963443963444,0.835571465167388
428,0,0.6805555555555556,0.5053763440860215,0.6349875930521091,0.6369047619047619,0.6347865999770502
428,1,0.7083333333333334,0.5516014234875444,0.6775858491544766,0.6785714285714285,0.6778499278499278
428,2,0.6805555555555556,0.5123674911660777,0.6598746867167921,0.6547619047619048,0.6553009883198563
429,0,0.7777777777777778,0.6641399416909621,0.8007928905917412,0.7742812742812742,0.7791412577790288
429,1,0.7916666666666666,0.685131195335277,0.8122871434653044,0.7871017871017871,0.7912624699002407
429,2,0.7777777777777778,0.6651162790697674,0.8055555555555555,0.7764180264180264,0.7783959899749373
430,0,0.625,0.4139282484172445,0.6608096468561585,0.6359801488833747,0.5961389961389961
430,1,0.6388888888888888,0.43733092876465285,0.6111111111111112,0.6121312379376896,0.6114788466164897
430,2,0.6388888888888888,0.44035874439461875,0.626984126984127,0.6288668320926386,0.623750805931657
431,0,0.8888888888888888,0.8309859154929577,0.9055555555555556,0.9029304029304029,0.9010989010989011
431,1,0.8611111111111112,0.7889800703399765,0.8863636363636364,0.8791208791208791,0.8758620689655173
431,2,0.9027777777777778,0.8518518518518519,0.9135802469135802,0.9139194139194139,0.9135506003430532
432,0,0.8194444444444444,0.7263157894736842,0.8126984126984128,0.8222551620117543,0.8129324292846306
432,1,0.8055555555555556,0.7060367454068242,0.8029441884280594,0.8052998387683986,0.7932985617196143
432,2,0.8194444444444444,0.7260755048287972,0.81506919792149,0.8167940916419618,0.8076482054810228
433,0,0.6666666666666666,0.4973821989528796,0.7257142857142856,0.6602898550724637,0.6233333333333334
433,1,0.6527777777777778,0.476287459994181,0.7128997289972899,0.6457971014492754,0.6010963748894783
433,2,0.6388888888888888,0.45581395348837206,0.6749482401656315,0.6324637681159421,0.5896464646464646
434,0,0.8194444444444444,0.7265556529360211,0.8070987654320988,0.8114431673052364,0.8073434502005931
434,1,0.8472222222222222,0.7676738046347903,0.8358324586394762,0.8381098339719029,0.8362858656976305
434,2,0.8194444444444444,0.7265556529360211,0.8070987654320988,0.8114431673052364,0.8073434502005931
435,0,0.8194444444444444,0.7283807312826465,0.8156763285024154,0.8292735042735043,0.8108485559465951
435,1,0.8333333333333334,0.75,0.8333333333333334,0.8501068376068376,0.827283950617284
435,2,0.7638888888888888,0.6363636363636364,0.763673890608875,0.7488247863247862,0.7470238095238096
