subject,run_mean,run_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
300,0.5,0.7071067811865476,0.4097222222222222,0.00982092751647981,0.13292465065725184,0.009909521650074367,0.5623389063044235,0.005307610983827979,0.41473341473341474,0.005036373085374226,0.4150005291672848,0.014748116258766372
301,0.5,0.7071067811865476,0.4722222222222222,0.019641855032959663,0.2216035721269463,0.029907776058738313,0.5718537376118513,0.015538989064025257,0.4858197358197358,0.02142747821777415,0.4492791280247308,0.016658202605503325
302,0.5,0.7071067811865476,0.4861111111111111,0.019641855032959663,0.2292542657949706,0.02378570405749169,0.520645295155099,0.011737429711572574,0.4833333333333334,0.012691660175143175,0.4868830100437853,0.016143735764538116
303,0.5,0.7071067811865476,0.4861111111111111,0.0,0.23469755588712976,0.0027982504630955137,0.5137194628938695,0.007564434869405284,0.4847999222999223,0.0026784347772217687,0.48631047896216706,0.009974573677938147
304,0.5,0.7071067811865476,0.6180555555555556,0.029462782549439494,0.4249470231748303,0.04365243147823597,0.6214428273251803,0.015031399824247635,0.6097513597513597,0.0288446822162345,0.6095928924876293,0.026321676177771796
306,0.5,0.7071067811865476,0.6111111111111112,0.0,0.4146337021768673,0.0007211088478550752,0.614262553667851,0.0014894003623843052,0.6100891861761427,0.0011824528113488194,0.6114984960350014,0.0005478450132244756
307,0.5,0.7071067811865476,0.3333333333333333,0.0,0.024549167163768093,0.0035042230242806507,0.4928191088088113,0.07814635036505709,0.34557109557109555,0.0016482675552134006,0.31824967611561317,0.004574501598146612
308,0.5,0.7071067811865476,0.6041666666666666,0.049104637582399115,0.4087119059724258,0.07083967747162413,0.6210893230633361,0.0451260179045227,0.6065811965811966,0.04677783321695612,0.6070730514902578,0.04969643238540587
309,0.5,0.7071067811865476,0.3819444444444444,0.029462782549439473,0.08573811509591334,0.03768484013162664,0.5781601880518289,0.02195428312600398,0.39253108003108006,0.024243268624597063,0.3429060774098621,0.025884213380014114
400,0.5,0.7071067811865476,0.6736111111111112,0.049104637582399156,0.5217601881962223,0.06399333493337045,0.7317807464866288,0.012527449019082187,0.6885874542124542,0.04362758185205454,0.6639479773100463,0.046101624009514085
401,0.5,0.7071067811865476,0.6527777777777777,0.0196418550329597,0.4932133676092545,0.01868652367762909,0.6852982662239324,0.01591748185905443,0.6834595959595959,0.0033926840511474612,0.6404285485083708,0.007642967176654826
402,0.5,0.7071067811865476,0.7083333333333334,0.0,0.5362661240937913,0.001106272980067817,0.7067450168473187,0.001880221417112006,0.6992043194089229,0.0,0.7026242302294827,0.0009769089350886912
403,0.5,0.7071067811865476,0.6319444444444444,0.009820927516479791,0.4349564228874574,0.01117330533364126,0.6299068986568985,0.015076742572002613,0.6238622770062933,0.006252049347361119,0.6192080287917192,0.014546631584645711
404,0.5,0.7071067811865476,0.4375,0.009820927516479791,0.15177575508170799,0.019693330855378447,0.4280430297671677,0.025957913456972348,0.41587301587301584,0.015152288168283186,0.4207995441256218,0.019471397355067706
405,0.5,0.7071067811865476,0.45833333333333337,0.03928371006591926,0.14092053385059777,0.04671565228955222,0.5399828995754293,0.14674383857834672,0.44125000000000003,0.013020649062171654,0.4396988064401278,0.009544320757480637
406,0.5,0.7071067811865476,0.6736111111111112,0.029462782549439414,0.4727640529520895,0.050368397339228585,0.6660208212839791,0.037447895275100174,0.639093137254902,0.036158869492493875,0.6484706291755404,0.0377880680737537
407,0.5,0.7071067811865476,0.9305555555555556,0.0196418550329597,0.8930724473217715,0.03071735792162088,0.931111054709034,0.0167867164835556,0.9144316730523627,0.026189140043946204,0.9194634064943396,0.024050316005367306
408,0.5,0.7071067811865476,0.6666666666666666,0.0,0.4972355785510152,0.0006206135555646185,0.6570185551163812,0.004211741642442994,0.6630304393462287,0.0033399105724061266,0.6478728106673539,0.00035887514454386004
409,0.5,0.7071067811865476,0.5763888888888888,0.009820927516479831,0.36232517482517484,0.01792490966294567,0.5781115755253687,0.017860336729029803,0.5788690476190477,0.014731391274719806,0.5661802557367932,0.010299735234900083
410,0.5,0.7071067811865476,0.5,0.01964185503295964,0.23201835616265187,0.02920447594718746,0.5425775760804878,0.006394357334245384,0.5199074074074075,0.013749298523071827,0.5294263219303483,0.005893345798437761
411,0.5,0.7071067811865476,0.4583333333333333,0.019641855032959663,0.151850209411185,0.026953328698000188,0.44021164021164016,0.020951312035156915,0.4239591315453385,0.018856180831641253,0.41682795859015975,0.021062048356695805
412,0.5,0.7071067811865476,0.5,0.01964185503295964,0.23226744599119947,0.033532836750329136,0.49936733314015264,0.01297011279313486,0.4801831501831502,0.02281045318552942,0.44807596715253056,0.03491146924461936
413,0.5,0.7071067811865476,0.6527777777777777,0.01964185503295962,0.47994713444671383,0.03323563292084312,0.6553964272442534,0.024814053782537038,0.6845238095238095,0.029462782549439494,0.6555237963593759,0.019933332458732266
414,0.5,0.7071067811865476,0.4930555555555556,0.00982092751647981,0.24027802852500452,0.008195749296294672,0.5051195728300724,0.007452195351190498,0.4895282186948854,0.002338316075352325,0.4912343212343212,0.0032133368433540817
415,0.5,0.7071067811865476,0.5972222222222223,0.0196418550329597,0.38005167346515745,0.03348155503423294,0.5783056812468577,0.023854632990255028,0.5704320987654321,0.025228871575668128,0.5563290989520497,0.03609384269969805
416,0.5,0.7071067811865476,0.7430555555555556,0.029462782549439414,0.6131331792051418,0.045228454308899525,0.7446681606101896,0.03416080956943399,0.7432112332112333,0.03330913262292657,0.7429612150277995,0.03268502007616211
417,0.5,0.7071067811865476,0.4444444444444444,0.01964185503295964,0.18403168606892295,0.015446666135934683,0.45851498995147755,0.00570380222860107,0.47350606909430437,0.012012525720437508,0.44391802641802636,0.022743345149352882
418,0.5,0.7071067811865476,0.875,0.019641855032959583,0.8058950951570478,0.03293194199863076,0.8686254656450298,0.01757474403036668,0.8571428571428572,0.04208968935634208,0.8595961312286022,0.03340657419209061
419,0.5,0.7071067811865476,0.7569444444444444,0.009820927516479791,0.6245921586556072,0.018170663865889166,0.7280147326586954,0.018315379945679538,0.7510238603988604,0.028896190577334852,0.7322637292464877,0.019438663429170392
420,0.5,0.7071067811865476,0.4652777777777778,0.00982092751647981,0.13202318586819922,0.007293826567118736,0.4342519396867223,0.019176040289094982,0.409688013136289,0.008127664151569501,0.3941046449734942,0.007054020979959097
421,0.5,0.7071067811865476,0.6944444444444444,0.0,0.5417992479028059,0.0,0.7047130647130647,0.0,0.6988455988455988,0.0,0.6817230730446839,0.0
422,0.5,0.7071067811865476,0.7777777777777778,0.0,0.6559128733985734,0.0008720657366983427,0.7809448770238537,0.00889236373572267,0.7495370370370371,0.0032736425054933293,0.753139160005323,0.006800097033911251
423,0.5,0.7071067811865476,0.7916666666666667,0.0196418550329597,0.6738299967180834,0.03241505585695334,0.8140881844024225,0.0008236906949306543,0.7621991978609626,0.03348043471527199,0.7611593186320098,0.035078920841243956
424,0.5,0.7071067811865476,0.5277777777777778,0.039283710065919325,0.2729352550903683,0.055002586502728434,0.5226675136457746,0.04067427798462768,0.5061728395061728,0.03491885339192825,0.5081618255242544,0.03372630650499543
425,0.5,0.7071067811865476,0.7708333333333333,0.00982092751647991,0.6535888727377943,0.012275736537611655,0.7605587989855724,0.0008835665422499723,0.7592592592592592,0.0,0.7574848510462057,0.0026295870914459485
426,0.5,0.7071067811865476,0.375,0.039283710065919325,0.057554350431234635,0.042776641250222645,0.3877594627594627,0.01955551720863894,0.3713725490196079,0.031426968052735434,0.3618353203382273,0.039317161902864446
427,0.5,0.7071067811865476,0.7083333333333334,0.0,0.559424063966403,0.0038124818601027754,0.692419474612457,0.010545887546017112,0.7104377104377104,0.015985578987863205,0.6892296341138617,0.008275726670321101
428,0.5,0.7071067811865476,0.7361111111111112,0.0196418550329597,0.6027097902097902,0.03152311699345623,0.7321428571428572,0.02188663846529794,0.7336309523809523,0.023149329145988117,0.7193428974735689,0.020346659994474218
429,0.5,0.7071067811865476,0.8541666666666667,0.029462782549439494,0.7801771300683378,0.0449419545465573,0.8616266848619789,0.020976197643343485,0.8516899766899766,0.03214121732666126,0.8535622093533629,0.03054349812248863
430,0.5,0.7071067811865476,0.5763888888888888,0.029462782549439494,0.3526833655626844,0.017912681432653794,0.5770849839815357,0.026601252041330712,0.5622415219189412,0.01043016619616214,0.5528866351197377,0.0040442291782305795
431,0.5,0.7071067811865476,0.7916666666666666,0.039283710065919325,0.6844679031204655,0.05872863072971923,0.8149534561299268,0.04971735142032566,0.8144586894586894,0.03158525406399004,0.8060164299637984,0.03601302122283698
432,0.5,0.7071067811865476,0.7569444444444444,0.009820927516479791,0.6312806788189733,0.013526092321604594,0.744938973063973,0.009984609641754546,0.7481796432100691,0.009065471553673654,0.7387623207095824,0.009169511448218579
433,0.5,0.7071067811865476,0.7361111111111112,0.0196418550329597,0.6037980765722739,0.030137455263556944,0.7367175417175418,0.02940378503615366,0.7334782608695651,0.021315682679246765,0.7333497620873036,0.02499006733651994
434,0.5,0.7071067811865476,0.7916666666666667,0.0196418550329597,0.6727500991145764,0.03238842478647519,0.8073937908496731,0.021952661507425458,0.739616858237548,0.026189140043946284,0.7293474947702729,0.03557660922111103
435,0.5,0.7071067811865476,0.7430555555555556,0.049104637582399115,0.616684120762395,0.06572384144932499,0.7698658868013706,0.005577144942006594,0.7516025641025641,0.03278678878578654,0.7354747798804673,0.043962269199941555
436,0.5,0.7071067811865476,0.6805555555555556,0.0,0.5199941927463773,0.0023611503396032693,0.6984355044699873,0.0030252972119732447,0.6925925925925926,0.005237828008789131,0.6726263709389168,0.001175917366610075
437,0.5,0.7071067811865476,0.8680555555555556,0.009820927516479791,0.7995588895502989,0.014960709601130877,0.8833129224576592,0.006925667066816297,0.8739566151846853,0.009065471553673654,0.8723131291542275,0.009567439520781722
438,0.5,0.7071067811865476,0.7222222222222222,0.0,0.5835140213934663,0.00025553150519904414,0.7214141414141414,0.0011427988382812964,0.724981684981685,0.0017958267458706534,0.7209857280356896,0.0005728279076412591
439,0.5,0.7071067811865476,0.5902777777777778,0.009820927516479791,0.358695652173913,0.01537188654753363,0.6217480131953816,0.011146288854736204,0.5572916666666667,0.012276159395599779,0.5633177793279414,0.01661437049626803
440,0.5,0.7071067811865476,0.5833333333333333,0.07856742013183861,0.3593734851997139,0.12040175942606611,0.5863338454983809,0.10320456925357174,0.585954129416773,0.10044814561395744,0.5835636585636585,0.09879009325568303
