metric,mean,std
accuracy,0.2504334121355398,0.009181894319592645
kappa,0.00048321829658657143,0.012683696076525326
precision,0.09754837239984206,0.05184130247944681
recall,0.25036874899423384,0.009585778914468367
f1_score,0.1110870070545957,0.020690816126645167
