subject,run,accuracy,kappa,precision,recall,f1_score
1,0,0.48439716312056735,0.31213973681914864,0.48083870538592666,0.483261161169918,0.4769770599895961
1,1,0.4652482269503546,0.28596087070407206,0.45538431575123167,0.46259710436532236,0.4490547730752159
2,0,0.3056737588652482,0.07659117590985243,0.2387104989379687,0.30831521739130435,0.20038721181259728
2,1,0.43829787234042555,0.2510211336092125,0.46587054641303605,0.43889752767814616,0.43756892419627536
3,0,0.5382978723404256,0.38433729283064944,0.5439310647888347,0.5374017413660708,0.5331085549406883
3,1,0.5382978723404256,0.38339642160205023,0.5493349538601435,0.5356906292829441,0.5219772970563172
4,0,0.3120567375886525,0.08321267696267698,0.3087828373861303,0.3130964052287582,0.30383735538343326
4,1,0.27092198581560284,0.026148884708411813,0.2912555141027355,0.2695214752567694,0.2675779843496301
5,0,0.2929078014184397,0.05746008971015182,0.27917129676490915,0.29315882007017957,0.2665471444903199
5,1,0.27801418439716313,0.041476069957061545,0.36574308510504294,0.28136780829906977,0.2318745809287124
6,0,0.29432624113475175,0.062196063489516895,0.3172730642799236,0.2969955724686282,0.2674543016575255
6,1,0.31063829787234043,0.08338070746861614,0.31539986601371484,0.3130968662214835,0.28823035441379435
7,0,0.4198581560283688,0.22712286908973944,0.4221249431102097,0.4204002274516665,0.4146643058257446
7,1,0.4326241134751773,0.24437805212987584,0.4676233688783142,0.43352370260208595,0.43622706120863897
8,0,0.3425531914893617,0.12493890968005406,0.404296865277913,0.3438448079783046,0.3298037590763541
8,1,0.39787234042553193,0.19833786480586102,0.4050783606874602,0.3993887236462252,0.3930816869243034
9,0,0.3382978723404255,0.11785177833807203,0.34992093021065934,0.3391892538807726,0.3400340589694866
9,1,0.34113475177304964,0.12168088187962667,0.35184650120739225,0.341738219170093,0.34240573217515335
