run,subject,accuracy,kappa,precision,recall,f1_score
0,1,0.5921985815602837,0.4552052010012263,0.6205212355212355,0.5890551035682695,0.5733977407246947
1,1,0.3900709219858156,0.19099324493370018,0.6123053941989869,0.394778331826709,0.33860149414529267
2,1,0.5319148936170213,0.3743024272171048,0.5370841431464346,0.5279856068779829,0.5018327222181174
0,2,0.2624113475177305,0.013090150418952007,0.18746978686003074,0.26032311015853576,0.1504822645754748
1,2,0.24822695035460993,0.0,0.06205673758865248,0.25,0.09943181818181818
2,2,0.2553191489361702,0.004638967325534593,0.10597826086956522,0.2534722222222222,0.10871573191457919
0,3,0.5638297872340425,0.41830317462979416,0.4955191139125703,0.5630175983436853,0.489075250156925
1,3,0.5070921985815603,0.34119901174809664,0.6885964912280702,0.5046802554457178,0.4694000036652189
2,3,0.475177304964539,0.2990729544538493,0.5186117831651827,0.47325474586650335,0.3986899685794789
0,4,0.24468085106382978,-0.008800510563971686,0.27702020202020206,0.24324229691876753,0.19871283189774544
1,4,0.2907801418439716,0.060939060939060985,0.32802143894116287,0.29662698412698413,0.24721366664730046
2,4,0.2553191489361702,0.006542526421741246,0.2744083237810288,0.2549661531279178,0.24231680988414345
0,5,0.2553191489361702,0.011533775099731303,0.18445980542754736,0.25903209109730846,0.19033128758800466
1,5,0.25886524822695034,0.014414715719063498,0.20118176413914682,0.2610248447204969,0.21484877351750417
2,5,0.24822695035460993,0.0,0.06205673758865248,0.25,0.09943181818181818
0,6,0.23404255319148937,-0.016453626138904553,0.31038058678544334,0.23791699472195493,0.1470024596868255
1,6,0.2553191489361702,0.013378205021408518,0.27205882352941174,0.26045694456594637,0.14124886613471088
2,6,0.2624113475177305,0.02266062383364431,0.41553643855434136,0.26739999173786677,0.1561104189789847
0,7,0.375886524822695,0.16327528364549793,0.41301571235781764,0.37057344064386316,0.29404771744221286
1,7,0.32269503546099293,0.09635097726700792,0.15285838260020612,0.32168008048289737,0.2042543352601156
2,7,0.25177304964539005,0.0,0.06294326241134751,0.25,0.10056657223796034
0,8,0.3120567375886525,0.08427765595969405,0.4575637390149193,0.3130955418501346,0.25281872994062693
1,8,0.3475177304964539,0.131116246357882,0.375100120144173,0.34789570757880617,0.27095646529905304
2,8,0.31560283687943264,0.09182532663651988,0.44788510101010104,0.31943028946626617,0.2624472054180277
0,9,0.2872340425531915,0.043180283592167634,0.44166666666666665,0.2819963257807716,0.1637857866445201
1,9,0.2801418439716312,0.03647349906586095,0.3311948468198468,0.2775534851621808,0.2199797879240388
2,9,0.4326241134751773,0.24109395499041275,0.49715287335748626,0.4302285330339526,0.42324417447319
