subject,cluster,run_mean,run_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
1,2,1.0,1.0,0.3222222222222222,0.09021971663902353,0.09627921500695098,0.11895359814754336,0.2434674234774111,0.16678189469402704,0.3217067299124862,0.08829675509832707,0.22523166175581344,0.14606827053973764
2,3,1.0,1.0,0.29054373522458626,0.06665283292917637,0.05709737403749534,0.09023018547691998,0.27119181939957565,0.18702656026290032,0.29341224480538625,0.06864043401697092,0.1699753078385843,0.10647399184215264
3,3,1.0,1.0,0.29219858156028367,0.053493233966334985,0.05801792001670484,0.07050829044874733,0.486927118187865,0.01639853810262318,0.293605522021015,0.05305990503856674,0.17377329295728453,0.08151318987861024
4,0,1.0,1.0,0.26430260047281323,0.02546616172008557,0.02005325175725429,0.039560404343744096,0.23753523942700636,0.1474563452106945,0.2653038437597261,0.029601071082100163,0.16453131816964478,0.02959849129911526
5,1,1.0,1.0,0.258628841607565,0.0035696616715228183,0.011581591345345643,0.010230130784145733,0.15332432194292955,0.07773376261634636,0.25896487216373926,0.007959831433956633,0.16207786117015924,0.05238757261696369
6,3,1.0,1.0,0.26713947990543735,0.02254307875033825,0.025223094541166335,0.030613723098002525,0.3671139011922017,0.08964575246850791,0.2691277536393886,0.023280368851541944,0.17570793222810274,0.08088738690322492
7,3,1.0,1.0,0.28345153664302597,0.05922021205709573,0.047103890429382976,0.0793176334297632,0.3631914417215441,0.044437822090054896,0.28548446880963724,0.059743243794911534,0.17940359194203112,0.1258434191644514
8,1,1.0,1.0,0.3371158392434988,0.0410143342205554,0.11365411191846919,0.05705364635848126,0.39433348907573335,0.07846532869767037,0.3350646552422425,0.04280440076884534,0.27499011956615377,0.08071161560127907
9,1,1.0,1.0,0.2990543735224586,0.05068979111676494,0.06411245698815711,0.06916299895580838,0.36763908225605263,0.06405444780952438,0.29853780492941545,0.0520138316111125,0.25472964461793435,0.0947762975228367
