run,cluster,accuracy_mtl,kappa_mtl,precision_mtl,recall_mtl,f1_score_mtl,accuracy_base,kappa_base,precision_base,recall_base,f1_score_base,accuracy_delta,kappa_delta,precision_delta,recall_delta,f1_score_delta
0,2,0.25177304964539005,0.0,0.06294326241134751,0.25,0.10056657223796034,0.5709219858156028,0.42688703013201656,0.5780588320955293,0.5678780411940241,0.5519420625523991,-0.3191489361702128,-0.42688703013201656,-0.5151155696841818,-0.3178780411940241,-0.45137549031443874
0,3,0.2574468085106383,0.0031803265405341286,0.19031399162256063,0.25231947238989494,0.12535904695784572,0.2624113475177305,0.009607429295061198,0.5642857142857143,0.2571946169772257,0.11645783793671119,-0.004964539007092206,-0.00642710275452707,-0.37397172266315365,-0.0048751445873307375,0.008901209021134532
0,3,0.2574468085106383,0.0031803265405341286,0.19031399162256063,0.25231947238989494,0.12535904695784572,0.44680851063829785,0.25911953922328124,0.5640020190501117,0.4424838888402881,0.4026467514905649,-0.18936170212765957,-0.2559392126827471,-0.3736880274275511,-0.19016441645039317,-0.27728770453271917
0,3,0.2574468085106383,0.0031803265405341286,0.19031399162256063,0.25231947238989494,0.12535904695784572,0.24113475177304963,-0.007950293960448995,0.24913533861208054,0.24459838742600531,0.18586126038953485,0.01631205673758865,0.011130620500983124,-0.05882134698951991,0.007721084963889624,-0.06050221343168913
0,3,0.2574468085106383,0.0031803265405341286,0.19031399162256063,0.25231947238989494,0.12535904695784572,0.3829787234042553,0.17770478616436525,0.20059719319199762,0.3841600326597265,0.2539736383019965,-0.12553191489361704,-0.17452445962383112,-0.01028320156943699,-0.13184056026983154,-0.12861459134415076
0,3,0.28794326241134754,0.04681618939246002,0.24377184544937275,0.2845783031522468,0.19918344849308056,0.2624113475177305,0.009607429295061198,0.5642857142857143,0.2571946169772257,0.11645783793671119,0.025531914893617058,0.03720876009739882,-0.32051386883634153,0.027383686175021127,0.08272561055636937
0,3,0.28794326241134754,0.04681618939246002,0.24377184544937275,0.2845783031522468,0.19918344849308056,0.44680851063829785,0.25911953922328124,0.5640020190501117,0.4424838888402881,0.4026467514905649,-0.1588652482269503,-0.21230334983082122,-0.32023017360073897,-0.1579055856880413,-0.20346330299748433
0,3,0.28794326241134754,0.04681618939246002,0.24377184544937275,0.2845783031522468,0.19918344849308056,0.24113475177304963,-0.007950293960448995,0.24913533861208054,0.24459838742600531,0.18586126038953485,0.04680851063829791,0.05476648335290901,-0.005363493162707789,0.03997991572624149,0.013322188103545712
0,3,0.28794326241134754,0.04681618939246002,0.24377184544937275,0.2845783031522468,0.19918344849308056,0.3829787234042553,0.17770478616436525,0.20059719319199762,0.3841600326597265,0.2539736383019965,-0.09503546099290777,-0.13088859677190523,0.04317465225737513,-0.09958172950747968,-0.05479018980891592
0,3,0.25886524822695034,0.007420181681615845,0.19932172714976343,0.2555899284596468,0.20693352175248336,0.2624113475177305,0.009607429295061198,0.5642857142857143,0.2571946169772257,0.11645783793671119,-0.003546099290780147,-0.0021872476134453533,-0.36496398713595085,-0.0016046885175788894,0.09047568381577217
0,3,0.25886524822695034,0.007420181681615845,0.19932172714976343,0.2555899284596468,0.20693352175248336,0.44680851063829785,0.25911953922328124,0.5640020190501117,0.4424838888402881,0.4026467514905649,-0.1879432624113475,-0.2516993575416654,-0.3646802919003483,-0.18689396038064132,-0.19571322973808153
0,3,0.25886524822695034,0.007420181681615845,0.19932172714976343,0.2555899284596468,0.20693352175248336,0.24113475177304963,-0.007950293960448995,0.24913533861208054,0.24459838742600531,0.18586126038953485,0.017730496453900707,0.01537047564206484,-0.04981361146231711,0.010991541033641472,0.021072261362948513
0,3,0.25886524822695034,0.007420181681615845,0.19932172714976343,0.2555899284596468,0.20693352175248336,0.3829787234042553,0.17770478616436525,0.20059719319199762,0.3841600326597265,0.2539736383019965,-0.12411347517730498,-0.1702846044827494,-0.0012754660422341912,-0.1285701042000797,-0.04704011654951312
0,3,0.2900709219858156,0.04780826769661484,0.2609394037012193,0.28540465012296,0.20761839396019216,0.2624113475177305,0.009607429295061198,0.5642857142857143,0.2571946169772257,0.11645783793671119,0.02765957446808509,0.03820083840155364,-0.30334631058449496,0.028210033145734337,0.09116055602348097
0,3,0.2900709219858156,0.04780826769661484,0.2609394037012193,0.28540465012296,0.20761839396019216,0.44680851063829785,0.25911953922328124,0.5640020190501117,0.4424838888402881,0.4026467514905649,-0.15673758865248227,-0.2113112715266664,-0.3030626153488924,-0.1570792387173281,-0.19502835753037273
0,3,0.2900709219858156,0.04780826769661484,0.2609394037012193,0.28540465012296,0.20761839396019216,0.24113475177304963,-0.007950293960448995,0.24913533861208054,0.24459838742600531,0.18586126038953485,0.048936170212765945,0.05575856165706383,0.011804065089138782,0.0408062626969547,0.02175713357065731
0,3,0.2900709219858156,0.04780826769661484,0.2609394037012193,0.28540465012296,0.20761839396019216,0.3829787234042553,0.17770478616436525,0.20059719319199762,0.3841600326597265,0.2539736383019965,-0.09290780141843974,-0.1298965184677504,0.0603422105092217,-0.09875538253676647,-0.046355244341804325
0,0,0.2553191489361702,1.3508767190084647e-05,0.063875088715401,0.25,0.10175240248728094,0.28368794326241137,0.04598894657511299,0.27723135577492736,0.28459383753501405,0.27429089319958977,-0.028368794326241176,-0.0459754378079229,-0.21335626705952637,-0.03459383753501405,-0.1725384907123088
