cluster,run_mean,run_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
0,1.0,1.0,0.26359338061465715,0.024137798884943423,0.01956035893227685,0.03664696345962268,0.2931499882474646,0.03022778576237995,0.2649451447245565,0.028056486095805362,0.22941443614306312,0.026700864760655234
1,1.0,0.8528028654224417,0.33451536643026003,0.11729286162129425,0.1129596435170734,0.15515938257975878,0.3070854483218866,0.20185601172400539,0.3343979486824327,0.11582168265875274,0.22991878390119205,0.14544994596998773
2,1.0,1.0,0.5047281323877069,0.10377011940278295,0.3401669577173438,0.1353732327335575,0.589970257622219,0.045984571765075956,0.5039396807576538,0.0993454625628108,0.47127731902936826,0.12034344124198922
3,1.0,0.8660254037844386,0.3041765169424744,0.05810026348673527,0.07265727304681467,0.07654764054249945,0.3331401837965044,0.1508705205521119,0.3044729798544352,0.05717062362942049,0.2330937809985315,0.08933368519023621
