run,accuracy,kappa,precision,recall,f1_score
0,0.33483057525610715,0.11402251843686051,0.34061272965073075,0.33577495181913863,0.3269061046514775
1,0.26501182033096926,0.019588169417284362,0.27271023295292207,0.26473915663935826,0.24688347010360134
2,0.27171000788022065,0.03101814867682795,0.3081996033766697,0.27341608085139674,0.2090224452232533
