run,subject,accuracy,kappa,precision,recall,f1_score
0,1,0.42411347517730497,0.23094697529454444,0.43573389805270346,0.42162064172474456,0.3909505381692794
1,1,0.2900709219858156,0.05236336779911366,0.15689464975179263,0.2893345580730762,0.16955457368043947
2,1,0.2524822695035461,0.005527301927194861,0.13777372262773724,0.2541649899396378,0.11518987341772152
0,2,0.36737588652482267,0.16112013393050695,0.4225309002106219,0.37254694835680746,0.2924564073087179
1,2,0.2560283687943262,0.010178678980124367,0.3289437772925764,0.2576897860593513,0.11798117055609698
2,2,0.24822695035460993,-6.690798145303489e-06,0.06210078069552875,0.25,0.09948834565093803
0,3,0.35390070921985817,0.13934525085763294,0.47301189239262287,0.35480799045480615,0.26776626314918084
1,3,0.25886524822695034,0.014065186989367429,0.5050061932287366,0.2605452400392694,0.12248830112060012
2,3,0.26382978723404255,0.020643322203114156,0.48276326894223553,0.26546333556896934,0.1310653146020727
0,4,0.23546099290780143,-0.0255929287136063,0.15944978655355085,0.23113211951447246,0.13055784984569468
1,4,0.27375886524822696,0.04134492168566706,0.407613725410722,0.2817238562091503,0.17828954265764152
2,4,0.28368794326241137,0.044407762299702114,0.1455422063167462,0.28305555555555556,0.18474656200559814
0,5,0.2624113475177305,0.01938624706598291,0.1921063530552491,0.26520293257127303,0.19541300182426405
1,5,0.2553191489361702,0.0,0.06382978723404255,0.25,0.1016949152542373
2,5,0.2581560283687943,0.01535852697005402,0.20403682553949704,0.2616916839199448,0.18912566643197634
0,6,0.2929078014184397,0.0602670588431905,0.30055595257474427,0.29579018798783036,0.26630298692634174
1,6,0.2574468085106383,0.011718632324145273,0.3317350970448667,0.25876495689110507,0.15008707655381978
2,6,0.251063829787234,0.0036835924561632316,0.469050653956994,0.25282811603923055,0.11073373320414666
0,7,0.3517730496453901,0.13861187605272296,0.38383025486485484,0.35441058184857943,0.32468878285172925
1,7,0.24680851063829787,-0.001967239441143631,0.3935567936736161,0.24854181854411492,0.10436806444693408
2,7,0.25177304964539005,0.0046670346765695925,0.3121872766261615,0.25350100603621734,0.10915392852743004
0,8,0.3709219858156028,0.15890527958142642,0.3735429954938773,0.368721556391489,0.33528122639750646
1,8,0.29148936170212764,0.04956327237027225,0.32835711587532856,0.2868893311560182,0.1832970095721985
2,8,0.34893617021276596,0.1324937838037089,0.48110035585799427,0.34958307817922024,0.30639212272875643
0,9,0.3546099290780142,0.13894574371707535,0.3667750064181407,0.3547377623227287,0.3522892972222726
1,9,0.2553191489361702,0.0025399691430804117,0.30402104356386905,0.25209083000417964,0.16300645782863182
2,9,0.2872340425531915,0.05085165810431558,0.432121196786148,0.2887848224613381,0.24889317880289868
