run,cluster,accuracy,kappa,precision,recall,f1_score
0,2,0.5709219858156028,0.42688703013201656,0.5780588320955293,0.5678780411940241,0.5519420625523991
0,3,0.2624113475177305,0.009607429295061198,0.5642857142857143,0.2571946169772257,0.11645783793671119
0,3,0.44680851063829785,0.25911953922328124,0.5640020190501117,0.4424838888402881,0.4026467514905649
0,0,0.28368794326241137,0.04598894657511299,0.27723135577492736,0.28459383753501405,0.27429089319958977
0,1,0.25177304964539005,-0.0015991381487030498,0.12738670347366,0.24890873015873016,0.16411238825031926
0,3,0.24113475177304963,-0.007950293960448995,0.24913533861208054,0.24459838742600531,0.18586126038953485
0,3,0.3829787234042553,0.17770478616436525,0.20059719319199762,0.3841600326597265,0.2539736383019965
0,1,0.2872340425531915,0.05312218101633748,0.2890502837465081,0.2898681946752982,0.22128675449578453
0,1,0.3546099290780142,0.14146635218547698,0.48221394931921246,0.3563913675288446,0.32893003098188334
1,2,0.5815602836879432,0.44227674979887366,0.6050946726572529,0.5809716997638001,0.5789315456922226
1,3,0.45390070921985815,0.268962731037269,0.25396825396825395,0.45059523809523805,0.31662083068895003
1,3,0.35106382978723405,0.1315483903539033,0.41556629834254144,0.3465795376121463,0.22687082738233633
1,0,0.2624113475177305,0.013919709501714728,0.2806951120812282,0.2603991596638655,0.22431627274810548
1,1,0.2375886524822695,-0.014083093597377472,0.06025179856115108,0.2392857142857143,0.09626436781609195
1,3,0.2801418439716312,0.045263509006003955,0.4836679950950338,0.28475818680197124,0.19124908020603387
1,3,0.24822695035460993,0.004661694192860888,0.3113879003558719,0.2535211267605634,0.10551587301587302
1,1,0.3333333333333333,0.11184078268444675,0.32116248213921206,0.33336267605633807,0.2702399743128774
1,1,0.2801418439716312,0.04401990581476911,0.3353050056333494,0.28375901544532894,0.1891269063702416
2,2,0.5141843971631206,0.3537087222724079,0.5773809523809523,0.5160173601998465,0.5127479470641245
2,3,0.24822695035460993,0.0,0.06205673758865248,0.25,0.09943181818181818
2,3,0.5283687943262412,0.3704617553753966,0.558487479679178,0.5270361905733921,0.4689598628971252
2,0,0.2553191489361702,0.005307712980381463,0.2957182482322147,0.2539565826330532,0.21459093718633826
2,1,0.26595744680851063,0.021178127672418223,0.44911213693645125,0.26594780032854126,0.2221562399217816
2,3,0.32269503546099293,0.1006211594977291,0.3260443719095707,0.32642940979208585,0.2806835912566136
2,3,0.25886524822695034,0.004896332815560234,0.31384892086330934,0.25357003129890454,0.11512720156555772
2,1,0.2624113475177305,0.021633612996847518,0.29806694955209806,0.2661549004169947,0.1956605373343941
2,1,0.3900709219858156,0.1828565652481553,0.547804421903318,0.38555390312891846,0.34404068080668326
