metric,mean,std
accuracy,0.25732860520094564,0.01242591112723405
kappa,0.013798034175175833,0.016441693376340206
precision,0.25962377530602765,0.005225649392904116
recall,0.260455882509814,0.012429117953066492
f1_score,0.18990568061103819,0.028842081090189143
