cluster,run_mean,run_std,accuracy_mean,accuracy_std,kappa_mean,kappa_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
0,0.0,,0.2553191489361702,,0.0,,0.06382978723404255,,0.25,,0.1016949152542373,
1,0.0,0.0,0.24822695035460993,0.0,0.0,0.0,0.06205673758865248,0.0,0.25,0.0,0.09943181818181818,0.0
2,0.0,,0.25177304964539005,,0.0,,0.06294326241134751,,0.25,,0.10056657223796034,
3,0.0,0.0,0.24716312056737588,0.011384396338377782,-0.007351986572351338,0.015202609490756018,0.18153741707596233,0.12862734089830885,0.24460345405767941,0.011201355365788408,0.14830153864051904,0.021825341291840026
