run,subject,accuracy_mtl,kappa_mtl,precision_mtl,recall_mtl,f1_score_mtl,accuracy_base,kappa_base,precision_base,recall_base,f1_score_base,accuracy_delta,kappa_delta,precision_delta,recall_delta,f1_score_delta
0,1,0.42411347517730497,0.23094697529454444,0.43573389805270346,0.42162064172474456,0.3909505381692794,0.5709219858156028,0.42688703013201656,0.5780588320955293,0.5678780411940241,0.5519420625523991,-0.14680851063829786,-0.19594005483747212,-0.14232493404282587,-0.14625739946927951,-0.1609915243831197
1,1,0.2900709219858156,0.05236336779911366,0.15689464975179263,0.2893345580730762,0.16955457368043947,0.5815602836879432,0.44227674979887366,0.6050946726572529,0.5809716997638001,0.5789315456922226,-0.29148936170212764,-0.38991338199976,-0.4482000229054603,-0.29163714169072397,-0.40937697201178314
2,1,0.2524822695035461,0.005527301927194861,0.13777372262773724,0.2541649899396378,0.11518987341772152,0.5141843971631206,0.3537087222724079,0.5773809523809523,0.5160173601998465,0.5127479470641245,-0.2617021276595745,-0.34818142034521304,-0.4396072297532151,-0.26185237026020863,-0.397558073646403
0,2,0.36737588652482267,0.16112013393050695,0.4225309002106219,0.37254694835680746,0.2924564073087179,0.2624113475177305,0.009607429295061198,0.5642857142857143,0.2571946169772257,0.11645783793671119,0.10496453900709218,0.15151270463544575,-0.14175481407509238,0.11535233137958179,0.17599856937200672
1,2,0.2560283687943262,0.010178678980124367,0.3289437772925764,0.2576897860593513,0.11798117055609698,0.45390070921985815,0.268962731037269,0.25396825396825395,0.45059523809523805,0.31662083068895003,-0.19787234042553192,-0.2587840520571446,0.07497552332432245,-0.19290545203588677,-0.19863966013285306
2,2,0.24822695035460993,-6.690798145303489e-06,0.06210078069552875,0.25,0.09948834565093803,0.24822695035460993,0.0,0.06205673758865248,0.25,0.09943181818181818,0.0,-6.690798145303489e-06,4.4043106876265337e-05,0.0,5.6527469119854734e-05
0,3,0.35390070921985817,0.13934525085763294,0.47301189239262287,0.35480799045480615,0.26776626314918084,0.44680851063829785,0.25911953922328124,0.5640020190501117,0.4424838888402881,0.4026467514905649,-0.09290780141843968,-0.1197742883656483,-0.09099012665748885,-0.08767589838548195,-0.13488048834138405
1,3,0.25886524822695034,0.014065186989367429,0.5050061932287366,0.2605452400392694,0.12248830112060012,0.35106382978723405,0.1315483903539033,0.41556629834254144,0.3465795376121463,0.22687082738233633,-0.09219858156028371,-0.11748320336453588,0.08943989488619519,-0.08603429757287695,-0.1043825262617362
2,3,0.26382978723404255,0.020643322203114156,0.48276326894223553,0.26546333556896934,0.1310653146020727,0.5283687943262412,0.3704617553753966,0.558487479679178,0.5270361905733921,0.4689598628971252,-0.26453900709219863,-0.34981843317228245,-0.07572421073694247,-0.2615728550044228,-0.3378945482950525
0,4,0.23546099290780143,-0.0255929287136063,0.15944978655355085,0.23113211951447246,0.13055784984569468,0.28368794326241137,0.04598894657511299,0.27723135577492736,0.28459383753501405,0.27429089319958977,-0.04822695035460994,-0.07158187528871929,-0.1177815692213765,-0.05346171802054159,-0.14373304335389508
1,4,0.27375886524822696,0.04134492168566706,0.407613725410722,0.2817238562091503,0.17828954265764152,0.2624113475177305,0.013919709501714728,0.2806951120812282,0.2603991596638655,0.22431627274810548,0.01134751773049647,0.02742521218395233,0.12691861332949378,0.021324696545284794,-0.04602673009046396
2,4,0.28368794326241137,0.044407762299702114,0.1455422063167462,0.28305555555555556,0.18474656200559814,0.2553191489361702,0.005307712980381463,0.2957182482322147,0.2539565826330532,0.21459093718633826,0.028368794326241176,0.03910004931932065,-0.15017604191546852,0.029098972922502353,-0.029844375180740124
0,5,0.2624113475177305,0.01938624706598291,0.1921063530552491,0.26520293257127303,0.19541300182426405,0.25177304964539005,-0.0015991381487030498,0.12738670347366,0.24890873015873016,0.16411238825031926,0.010638297872340441,0.02098538521468596,0.0647196495815891,0.01629420241254287,0.031300613573944785
1,5,0.2553191489361702,0.0,0.06382978723404255,0.25,0.1016949152542373,0.2375886524822695,-0.014083093597377472,0.06025179856115108,0.2392857142857143,0.09626436781609195,0.01773049645390068,0.014083093597377472,0.003577988672891469,0.010714285714285704,0.005430547438145347
2,5,0.2581560283687943,0.01535852697005402,0.20403682553949704,0.2616916839199448,0.18912566643197634,0.26595744680851063,0.021178127672418223,0.44911213693645125,0.26594780032854126,0.2221562399217816,-0.007801418439716323,-0.005819600702364203,-0.2450753113969542,-0.0042561164085964664,-0.03303057348980526
0,6,0.2929078014184397,0.0602670588431905,0.30055595257474427,0.29579018798783036,0.26630298692634174,0.24113475177304963,-0.007950293960448995,0.24913533861208054,0.24459838742600531,0.18586126038953485,0.05177304964539006,0.0682173528036395,0.05142061396266373,0.05119180056182504,0.0804417265368069
1,6,0.2574468085106383,0.011718632324145273,0.3317350970448667,0.25876495689110507,0.15008707655381978,0.2801418439716312,0.045263509006003955,0.4836679950950338,0.28475818680197124,0.19124908020603387,-0.02269503546099294,-0.03354487668185868,-0.15193289805016708,-0.025993229910866167,-0.04116200365221409
2,6,0.251063829787234,0.0036835924561632316,0.469050653956994,0.25282811603923055,0.11073373320414666,0.32269503546099293,0.1006211594977291,0.3260443719095707,0.32642940979208585,0.2806835912566136,-0.07163120567375891,-0.09693756704156586,0.14300628204742333,-0.07360129375285529,-0.16994985805246693
0,7,0.3517730496453901,0.13861187605272296,0.38383025486485484,0.35441058184857943,0.32468878285172925,0.3829787234042553,0.17770478616436525,0.20059719319199762,0.3841600326597265,0.2539736383019965,-0.031205673758865238,-0.03909291011164229,0.18323306167285722,-0.02974945081114705,0.07071514454973277
